UNIT,TOTAL
R143,844
R056,843
R443,843
R065,843
R127,842
R127,841
R334,841
R552,841
R106,841
R103,840
R297,839
R014,839
R440,839
R551,837
R108,837
R366,837
R021,836
R028,834
R142,834
R200,834
R258,833
R302,832
R278,832
R349,832
R160,832
R443,831
R023,831
R463,831
R176,831
R160,830
R135,830
R064,829
R248,829
R114,828
R551,828
R044,828
R057,827
R112,824
R012,822
R405,822
R116,822
R156,822
R285,822
R014,821
R143,821
R154,820
R049,819
R084,819
R083,819
R176,819
R190,819
R269,818
R088,818
R072,817
R535,817
R017,816
R113,816
R164,815
R223,814
R176,814
R267,813
R256,813
R014,813
R094,812
R175,812
R112,812
R266,812
R001,811
R289,811
R032,810
R014,810
R013,810
R139,809
R434,809
R226,808
R195,808
R163,808
R155,808
R057,806
R188,806
R079,805
R267,805
R126,805
R030,803
R188,803
R250,803
R236,803
R050,801
R300,800
R194,800
R001,800
R139,800
R178,799
R231,799
R268,799
R167,798
R105,798
R088,798
R321,797
R111,797
R409,797
R072,797
R031,797
R011,796
R117,795
R396,795
R176,795
R334,795
R175,794
R317,794
R449,793
R241,793
R424,792
R143,792
R234,792
R154,792
R100,791
R179,791
R199,790
R384,790
R014,790
R267,788
R460,787
R192,786
R154,784
R190,783
R186,782
R314,782
R168,782
R225,781
R049,781
R006,780
R408,780
R387,780
R285,779
R333,779
R296,779
R449,779
R468,778
R446,777
R049,776
R033,776
R420,775
R138,775
R462,775
R461,775
R115,774
R051,774
R298,774
R155,773
R325,773
R307,773
R395,773
R019,773
R164,772
R029,771
R016,771
R361,770
R194,770
R251,770
R044,770
R085,769
R160,768
R046,768
R029,768
R153,768
R001,767
R028,767
R133,766
R391,766
R094,765
R370,764
R238,764
R442,763
R083,763
R272,763
R323,762
R177,762
R032,762
R032,761
R226,761
R126,760
R154,760
R062,759
R450,758
R298,758
R139,758
R133,758
R547,757
R342,756
R046,755
R116,755
R336,755
R173,755
R395,754
R158,754
R406,753
R301,753
R244,752
R127,751
R257,751
R011,750
R178,749
R280,748
R250,748
R456,747
R185,746
R084,746
R268,746
R199,746
R432,745
R004,744
R138,744
R145,744
R409,743
R115,743
R146,742
R032,741
R046,741
R210,740
R141,740
R121,740
R294,740
R385,740
R143,739
R057,739
R081,739
R535,738
R111,738
R262,738
R163,738
R046,737
R398,735
R302,735
R183,735
R049,734
R462,734
R116,733
R238,733
R216,733
R356,733
R268,732
R041,731
R135,731
R264,731
R400,729
R032,729
R204,729
R414,728
R139,728
R008,728
R064,728
R029,728
R028,726
R272,725
R169,725
R007,725
R547,725
R131,724
R167,724
R154,724
R439,724
R155,723
R370,723
R099,723
R098,723
R056,722
R166,722
R306,722
R318,721
R439,720
R079,720
R139,719
R029,719
R019,719
R294,718
R054,718
R048,717
R166,717
R299,716
R238,716
R049,715
R167,715
R216,715
R269,715
R387,715
R157,715
R272,714
R015,714
R224,714
R169,713
R546,713
R447,713
R012,713
R035,713
R129,711
R460,711
R330,711
R385,709
R302,709
R353,708
R098,708
R017,707
R391,707
R110,707
R116,707
R461,706
R195,706
R239,705
R028,705
R279,705
R270,704
R098,704
R253,703
R014,703
R131,703
R116,703
R156,702
R032,702
R223,701
R098,701
R258,701
R266,700
R058,700
R283,700
R025,700
R131,700
R359,699
R056,699
R365,699
R049,699
R060,698
R413,697
R137,697
R017,697
R551,696
R041,696
R211,696
R114,696
R286,696
R272,695
R298,695
R383,694
R127,694
R013,693
R080,693
R327,692
R031,692
R151,692
R541,692
R412,692
R288,691
R253,690
R369,689
R110,689
R284,688
R385,688
R051,688
R288,688
R454,688
R407,686
R544,686
R131,686
R084,685
R141,684
R116,683
R320,683
R284,682
R213,681
R007,681
R219,680
R045,680
R346,679
R279,679
R014,679
R088,678
R129,678
R335,678
R131,678
R213,678
R549,678
R080,677
R450,677
R172,677
R140,676
R541,676
R383,675
R307,674
R110,674
R176,673
R163,673
R014,672
R446,671
R030,671
R386,670
R176,670
R012,669
R041,669
R441,668
R210,668
R306,666
R461,666
R202,666
R028,666
R550,666
R213,665
R049,664
R145,664
R155,664
R019,663
R433,663
R282,662
R436,662
R085,662
R443,662
R195,662
R242,662
R116,661
R344,661
R092,661
R137,661
R136,661
R014,661
R168,661
R112,661
R246,661
R168,660
R018,660
R396,660
R142,659
R297,659
R099,658
R060,657
R402,656
R230,655
R320,655
R049,654
R403,654
R138,653
R463,653
R143,652
R451,652
R376,651
R160,651
R289,650
R083,650
R535,649
R033,649
R151,649
R430,649
R095,649
R214,648
R108,647
R164,647
R160,646
R158,646
R028,645
R404,645
R552,643
R088,643
R402,643
R057,642
R044,641
R294,641
R401,641
R460,641
R202,641
R195,640
R550,640
R281,639
R420,639
R100,638
R193,637
R088,637
R131,636
R332,636
R406,636
R127,635
R108,635
R054,635
R141,634
R084,634
R395,634
R216,634
R228,633
R030,633
R099,633
R115,633
R230,632
R194,632
R029,632
R535,632
R551,631
R248,630
R254,629
R025,629
R375,629
R204,628
R155,628
R536,628
R383,628
R176,627
R090,627
R084,625
R302,625
R155,624
R127,623
R152,623
R046,623
R083,623
R193,623
R268,623
R100,622
R057,621
R401,621
R153,621
R423,620
R432,620
R027,619
R321,619
R455,618
R083,618
R258,618
R072,618
R286,617
R290,617
R250,617
R158,616
R352,616
R141,616
R188,615
R172,615
R363,614
R204,614
R177,614
R335,612
R176,612
R431,611
R258,610
R158,609
R347,609
R462,608
R001,608
R545,607
R159,607
R172,607
R326,607
R079,607
R336,606
R127,606
R044,605
R350,604
R108,603
R176,603
R398,602
R013,602
R202,602
R446,601
R128,601
R141,601
R044,600
R330,600
R127,600
R286,599
R545,599
R241,599
R535,599
R017,599
R452,598
R089,598
R035,598
R297,598
R411,598
R103,598
R039,598
R280,598
R216,597
R219,597
R133,597
R284,597
R105,597
R018,596
R014,596
R051,596
R541,594
R153,594
R051,593
R123,593
R172,592
R331,592
R088,592
R084,591
R214,590
R012,590
R013,590
R249,590
R449,589
R054,589
R460,588
R011,588
R157,588
R177,588
R266,588
R090,587
R551,587
R549,586
R039,586
R326,585
R088,584
R021,583
R014,582
R069,581
R253,581
R027,581
R267,580
R008,580
R079,580
R029,580
R272,580
R456,579
R177,579
R224,579
R385,578
R404,578
R188,578
R035,578
R450,578
R544,577
R267,577
R268,576
R099,576
R250,576
R298,575
R110,575
R427,574
R001,574
R283,573
R151,573
R133,572
R013,572
R550,572
R385,571
R131,571
R083,570
R460,569
R028,568
R163,568
R176,568
R033,568
R128,567
R429,567
R251,566
R115,566
R032,566
R099,565
R385,564
R022,564
R444,564
R011,564
R258,564
R012,563
R350,563
R428,562
R028,562
R152,561
R229,561
R105,560
R393,559
R332,559
R188,558
R131,558
R383,558
R115,556
R321,555
R296,555
R105,555
R447,555
R142,555
R139,555
R256,554
R347,553
R442,553
R108,553
R228,552
R016,552
R239,552
R163,551
R131,551
R329,551
R226,550
R219,550
R021,549
R052,549
R267,549
R347,549
R017,548
R541,548
R359,548
R140,548
R288,547
R044,546
R230,546
R405,546
R056,545
R005,544
R029,544
R114,544
R202,544
R288,542
R342,542
R114,542
R454,541
R052,541
R256,541
R411,541
R128,540
R141,540
R462,539
R163,539
R353,539
R131,538
R317,538
R283,538
R130,537
R168,537
R549,536
R014,536
R389,536
R276,536
R440,536
R029,536
R172,535
R023,534
R225,534
R160,532
R022,532
R170,532
R409,531
R137,530
R030,530
R551,530
R331,530
R127,529
R158,529
R258,528
R142,526
R231,526
R204,526
R334,526
R264,525
R258,525
R129,524
R404,523
R220,523
R057,522
R331,522
R421,522
R041,521
R114,521
R011,520
R227,519
R167,519
R255,519
R005,519
R129,519
R425,519
R319,518
R220,518
R088,518
R170,518
R461,518
R426,517
R400,517
R447,517
R544,517
R128,517
R545,516
R290,516
R292,516
R044,514
R058,512
R359,512
R215,511
R449,511
R176,510
R241,510
R142,510
R004,508
R157,508
R017,507
R389,507
R403,507
R204,507
R114,506
R011,506
R357,505
R462,504
R542,504
R083,504
R225,502
R084,502
R545,502
R428,501
R141,501
R346,500
R013,500
R177,500
R158,500
R017,499
R544,498
R043,497
R195,497
R163,497
R549,496
R371,495
R429,495
R163,495
R037,495
R027,495
R103,495
R543,494
R348,493
R429,493
R302,493
R155,492
R014,492
R001,491
R344,491
R256,491
R156,491
R325,490
R052,490
R253,490
R083,490
R234,490
R392,489
R029,489
R290,488
R019,488
R057,488
R104,488
R084,487
R088,487
R030,487
R019,487
R231,487
R151,487
R353,486
R099,486
R542,485
R019,485
R177,484
R001,484
R155,483
R141,483
R267,482
R431,481
R129,480
R108,480
R346,480
R542,480
R019,479
R239,479
R347,479
R054,477
R045,477
R006,476
R545,476
R009,476
R044,475
R105,475
R306,474
R253,474
R290,473
R108,473
R359,472
R114,471
R164,470
R043,470
R110,470
R358,470
R543,469
R256,469
R413,469
R142,468
R258,468
R098,467
R019,467
R127,466
R009,466
R405,466
R333,466
R158,466
R033,466
R328,466
R551,465
R325,465
R343,465
R139,464
R242,463
R030,463
R247,461
R041,461
R551,460
R297,459
R267,459
R108,459
R108,458
R284,458
R354,458
R550,458
R003,457
R027,457
R128,457
R041,456
R021,455
R021,454
R017,453
R263,452
R429,452
R541,452
R545,451
R129,451
R029,450
R404,449
R029,449
R220,448
R126,448
R043,448
R226,448
R542,447
R409,447
R318,447
R338,446
R396,445
R304,445
R136,445
R291,444
R456,444
R006,444
R541,444
R133,444
R126,443
R133,443
R291,443
R001,443
R420,442
R131,440
R549,440
R172,440
R229,439
R139,438
R267,438
R108,438
R115,437
R173,437
R142,437
R032,437
R246,437
R552,436
R369,436
R202,436
R048,435
R220,435
R115,435
R535,434
R216,434
R123,433
R139,432
R544,432
R087,431
R051,431
R142,431
R135,430
R549,430
R440,430
R369,430
R027,430
R406,428
R545,428
R241,428
R346,428
R140,427
R029,427
R228,427
R006,426
R044,426
R072,426
R267,426
R551,426
R331,425
R272,424
R014,424
R140,423
R021,423
R551,423
R428,422
R157,422
R353,422
R012,422
R544,422
R278,422
R456,422
R230,421
R356,421
R176,420
R461,419
R102,419
R138,418
R359,418
R552,418
R254,418
R014,417
R019,417
R543,416
R460,416
R188,415
R225,415
R229,415
R030,415
R352,415
R159,414
R017,414
R352,413
R296,413
R139,412
R346,412
R331,412
R147,411
R228,411
R004,411
R060,411
R284,410
R009,410
R003,410
R029,409
R389,409
R099,408
R430,408
R176,408
R267,408
R292,407
R334,407
R135,407
R032,407
R028,407
R202,406
R255,406
R439,405
R044,405
R252,405
R541,405
R313,404
R369,404
R543,404
R043,403
R401,403
R057,403
R284,402
R151,402
R239,402
R264,401
R141,401
R316,401
R054,401
R140,401
R360,400
R549,400
R058,400
R456,399
R545,399
R541,399
R004,399
R400,399
R029,398
R258,398
R346,398
R177,397
R230,396
R358,396
R044,396
R313,396
R060,396
R139,396
R041,395
R294,395
R326,395
R545,394
R360,393
R266,393
R029,393
R543,393
R062,393
R041,393
R220,393
R139,392
R549,392
R272,392
R009,392
R321,392
R450,391
R131,391
R341,390
R227,390
R176,388
R141,388
R057,388
R343,388
R108,387
R248,387
R320,387
R289,387
R258,387
R384,386
R110,385
R043,384
R173,384
R229,383
R342,383
R464,383
R054,383
R129,382
R111,382
R108,381
R376,380
R411,380
R043,380
R202,380
R401,379
R258,378
R110,378
R070,376
R127,376
R239,376
R089,375
R535,375
R290,375
R256,375
R219,375
R017,374
R177,374
R282,373
R450,371
R007,371
R001,371
R270,370
R001,370
R013,370
R543,368
R228,368
R089,367
R163,366
R140,366
R383,365
R257,365
R210,365
R028,365
R332,364
R194,363
R029,363
R385,362
R258,362
R402,362
R443,361
R043,361
R332,361
R333,360
R339,360
R369,360
R121,360
R329,359
R105,359
R041,358
R038,356
R550,356
R254,355
R205,355
R549,355
R017,355
R267,354
R292,354
R552,354
R263,354
R225,354
R544,354
R058,353
R040,353
R278,352
R060,351
R291,350
R350,350
R028,350
R131,349
R058,348
R172,348
R070,348
R088,347
R549,347
R019,346
R044,346
R228,346
R468,346
R356,345
R451,345
R255,345
R019,343
R141,343
R176,343
R097,342
R088,342
R433,342
R332,342
R216,342
R543,341
R216,340
R017,340
R455,340
R350,340
R276,339
R007,339
R125,338
R368,338
R258,338
R044,337
R108,337
R263,337
R001,337
R160,337
R146,337
R172,336
R027,336
R291,336
R545,335
R549,335
R535,335
R551,334
R264,333
R256,333
R414,332
R291,331
R008,331
R541,331
R126,330
R247,330
R228,330
R016,329
R463,329
R057,329
R043,328
R128,328
R231,327
R402,327
R028,327
R348,326
R343,326
R134,326
R543,325
R043,325
R039,324
R029,323
R151,323
R050,323
R001,323
R320,323
R057,323
R022,322
R543,322
R027,321
R038,321
R186,321
R266,321
R321,320
R115,319
R019,319
R551,319
R017,319
R316,318
R108,318
R131,317
R359,317
R229,317
R290,315
R541,314
R115,314
R028,314
R454,313
R228,312
R115,312
R255,312
R152,312
R384,311
R044,311
R290,311
R006,310
R029,310
R464,309
R291,309
R290,309
R013,309
R110,309
R423,308
R134,308
R320,307
R549,307
R110,307
R045,306
R338,306
R031,306
R088,305
R443,305
R235,305
R045,304
R012,304
R416,303
R332,302
R038,302
R043,302
R028,301
R541,301
R239,301
R268,301
R128,301
R542,300
R128,300
R126,299
R422,299
R339,298
R084,298
R135,298
R325,297
R543,297
R302,295
R549,295
R029,295
R012,294
R337,294
R219,294
R014,293
R008,293
R360,293
R175,293
R241,292
R447,292
R088,292
R105,291
R264,291
R541,291
R406,290
R043,290
R316,289
R229,289
R549,288
R328,288
R288,288
R176,287
R304,287
R549,287
R543,286
R040,285
R319,285
R027,285
R172,284
R139,284
R141,284
R014,283
R268,283
R227,282
R029,280
R037,280
R338,279
R088,279
R329,278
R320,278
R127,278
R041,277
R108,277
R430,277
R423,276
R111,276
R041,275
R001,275
R151,274
R088,273
R108,272
R088,271
R447,271
R279,270
R460,270
R158,269
R321,269
R355,269
R029,267
R332,266
R431,266
R015,266
R429,266
R326,266
R211,266
R011,265
R012,265
R134,265
R195,264
R408,264
R108,263
R547,263
R027,263
R009,262
R337,262
R289,262
R404,260
R348,260
R019,260
R115,259
R220,259
R028,258
R087,258
R332,257
R147,257
R356,257
R448,256
R001,255
R289,255
R028,255
R455,255
R464,254
R012,253
R283,253
R045,253
R072,253
R050,252
R549,252
R414,252
R543,251
R256,251
R175,250
R256,250
R548,249
R267,249
R290,248
R227,247
R404,247
R088,246
R542,246
R110,246
R140,246
R029,246
R187,246
R158,246
R357,245
R276,245
R029,245
R140,244
R549,244
R125,244
R290,242
R027,242
R272,241
R263,241
R027,241
R549,240
R134,240
R255,240
R041,239
R229,239
R140,238
R424,238
R284,238
R290,237
R255,237
R419,236
R312,235
R549,235
R012,235
R070,234
R043,234
R247,234
R276,234
R139,233
R450,233
R321,233
R050,232
R387,232
R284,232
R049,232
R337,232
R001,231
R339,230
R058,230
R029,230
R543,229
R126,229
R354,229
R057,228
R427,228
R028,227
R089,225
R019,225
R038,225
R044,224
R170,224
R138,224
R425,223
R283,222
R263,222
R416,222
R028,221
R042,221
R423,220
R070,220
R025,219
R035,219
R009,218
R088,218
R318,218
R001,218
R125,217
R057,217
R448,217
R420,217
R252,217
R219,216
R312,216
R339,216
R339,215
R087,215
R001,215
R359,215
R044,214
R543,214
R328,213
R105,213
R304,213
R016,212
R355,212
R141,212
R070,211
R043,211
R089,210
R419,210
R420,210
R087,210
R549,208
R151,207
R359,207
R547,207
R016,207
R545,207
R359,206
R028,206
R072,206
R291,205
R218,205
R003,204
R343,204
R029,204
R135,203
R355,203
R019,202
R460,202
R397,202
R544,202
R048,201
R028,201
R316,200
R016,200
R283,200
R070,200
R552,199
R284,199
R087,199
R220,198
R127,198
R151,198
R549,197
R001,197
R019,196
R028,195
R134,195
R263,195
R355,194
R253,194
R025,194
R551,194
R050,194
R283,193
R051,193
R550,193
R356,193
R549,192
R001,192
R140,192
R359,192
R127,190
R019,190
R014,189
R158,189
R041,188
R028,188
R271,188
R550,187
R312,187
R288,187
R284,187
R304,187
R072,187
R151,186
R339,186
R141,185
R029,184
R343,184
R042,184
R355,184
R255,183
R300,183
R227,183
R427,183
R139,183
R543,183
R298,182
R081,182
R028,181
R290,180
R015,180
R293,180
R140,180
R312,179
R272,178
R131,177
R087,177
R014,177
R291,176
R357,176
R057,176
R218,176
R535,176
R316,176
R125,175
R427,175
R014,175
R135,174
R044,174
R425,173
R110,173
R062,171
R227,171
R549,171
R020,170
R140,170
R041,170
R057,169
R177,169
R173,168
R227,168
R242,167
R228,166
R029,166
R251,166
R129,166
R550,165
R426,165
R013,165
R012,164
R359,163
R089,163
R354,162
R028,162
R328,162
R134,161
R070,160
R542,160
R369,160
R015,159
R312,159
R014,159
R416,158
R032,158
R296,157
R359,155
R417,155
R016,155
R134,155
R140,154
R263,154
R549,154
R001,153
R422,153
R544,152
R289,152
R549,150
R011,150
R057,150
R419,149
R425,149
R369,149
R550,149
R241,148
R412,147
R316,147
R087,147
R549,147
R552,147
R421,146
R163,146
R110,146
R549,146
R151,145
R343,143
R544,143
R133,143
R549,143
R081,142
R015,141
R312,141
R014,141
R420,141
R549,141
R412,141
R316,140
R108,139
R043,139
R304,138
R029,138
R041,137
R125,137
R272,136
R043,136
R551,135
R126,135
R227,135
R414,135
R220,134
R549,134
R469,134
R263,132
R550,131
R283,131
R426,131
R317,130
R549,130
R017,130
R542,130
R062,130
R220,130
R134,128
R133,127
R341,127
R025,126
R098,125
R283,125
R550,125
R343,125
R070,125
R218,125
R549,124
R165,124
R550,124
R113,124
R267,123
R549,123
R072,122
R296,122
R551,122
R328,121
R088,121
R134,120
R549,120
R543,120
R543,119
R072,119
R316,119
R469,119
R125,119
R241,118
R042,118
R140,118
R241,117
R041,117
R028,117
R552,116
R218,116
R108,116
R089,115
R549,115
R131,115
R114,115
R001,114
R282,113
R134,111
R359,111
R550,111
R015,109
R087,109
R227,109
R014,108
R013,108
R227,108
R057,108
R139,107
R357,107
R343,106
R550,105
R339,105
R357,105
R070,104
R125,103
R253,103
R110,101
R127,101
R020,99
R550,99
R041,99
R228,99
R549,99
R448,98
R070,97
R332,96
R140,96
R549,95
R070,95
R087,95
R041,94
R229,94
R412,94
R072,93
R041,93
R228,93
R125,92
R070,91
R354,90
R549,89
R341,88
R235,87
R142,86
R218,86
R058,85
R072,85
R288,84
R339,84
R417,83
R218,83
R057,83
R043,83
R121,83
R359,82
R044,82
R165,82
R163,81
R020,81
R070,80
R339,80
R298,79
R014,78
R043,78
R550,78
R263,77
R342,77
R548,76
R341,76
R448,75
R115,75
R304,74
R048,74
R072,74
R550,72
R549,71
R172,71
R448,70
R015,70
R431,70
R317,69
R268,69
R418,69
R020,69
R550,69
R359,69
R552,68
R072,68
R543,67
R165,67
R417,65
R019,65
R422,65
R115,64
R070,63
R300,63
R552,63
R418,62
R339,61
R549,60
R544,59
R014,59
R448,58
R414,57
R424,57
R549,57
R035,57
R298,55
R550,55
R057,54
R140,54
R253,54
R241,54
R125,54
R058,54
R542,53
R140,53
R130,53
R125,52
R317,51
R550,51
R140,51
R421,50
R359,49
R543,49
R550,48
R227,48
R125,47
R072,46
R015,46
R070,46
R550,46
R044,45
R043,45
R070,44
R251,44
R415,43
R341,41
R057,41
R354,41
R165,40
R043,40
R393,39
R028,39
R334,39
R271,39
R015,39
R015,38
R070,38
R070,37
R334,37
R341,35
R163,35
R165,34
R415,34
R317,33
R288,32
R043,32
R550,32
R317,32
R029,32
R317,31
R418,30
R549,29
R421,29
R044,28
R139,28
R288,28
R341,28
R044,27
R284,26
R070,26
R543,26
R550,26
R544,26
R001,24
R070,24
R550,23
R025,23
R263,23
R288,23
R070,22
R070,21
R044,21
R020,20
R550,20
R263,20
R267,18
R130,17
R140,17
R543,17
R549,17
R550,15
R415,15
R070,14
R151,14
R163,14
R550,13
R044,13
R125,13
R550,12
R163,12
R550,10
R543,10
R550,8
R541,7
R011,7
R549,6
R104,6
R027,6
R215,6
R020,6
R393,5
R550,5
R541,5
R328,5
R245,5
R036,4
R541,4
R055,4
R104,4
R328,4
R259,4
R245,4
R175,3
R046,3
R127,3
R549,3
R541,3
R084,3
R027,3
R328,3
R041,3
R293,3
R411,3
R057,3
R132,3
R207,3
R097,3
R550,3
R170,3
R374,3
R099,2
R012,2
R155,2
R328,2
R408,2
R084,2
R062,2
R195,2
R215,2
R204,2
R550,2
R036,2
R385,2
R040,2
R033,2
R361,2
R205,2
R541,2
R011,2
R022,2
R020,2
R112,1
R257,1
R195,1
R469,1
R204,1
R328,1
R358,1
R312,1
R108,1
R452,1
R035,1
R367,1
R011,1
R028,1
R084,1
R319,1
R053,1
R127,1
R146,1
R137,1
R196,1
R147,1
R141,1
R102,1
R046,1
R175,1
R014,1
R132,1
R461,1
R549,1
R156,1
R223,1
R173,1
R165,1
R541,1
R072,1
R463,1
R057,1
R041,1
R285,1
R025,1
R216,1
R153,1
R325,0
R001,0
R469,0
R028,0
R541,0
R328,0
R326,0
R125,0
R239,0
R126,0
R230,0
R543,0
R114,0
R084,0
R229,0
R081,0
R228,0
R120,0
R119,0
R049,0
R295,0
R270,0
R106,0
R297,0
R088,0
R276,0
R282,0
R019,0
R293,0
R285,0
R263,0
R264,0
R018,0
R024,0
R269,0
R022,0
R549,0
R089,0
R290,0
R020,0
R100,0
R097,0
R289,0
R099,0
R291,0
R286,0
R550,0
R102,0
R319,0
R242,0
R318,0
R110,0
R109,0
R241,0
R112,0
R111,0
R303,0
R025,0
R259,0
R016,0
R027,0
R312,0
R257,0
R461,0
R377,0
R041,0
R057,0
R156,0
R374,0
R043,0
R014,0
R428,0
R153,0
R427,0
R155,0
R420,0
R158,0
R383,0
R044,0
R423,0
R188,0
R195,0
R150,0
R368,0
R147,0
R439,0
R062,0
R429,0
R012,0
R152,0
R151,0
R164,0
R047,0
R055,0
R165,0
R173,0
R408,0
R170,0
R051,0
R398,0
R053,0
R168,0
R045,0
R417,0
R387,0
R416,0
R385,0
R419,0
R418,0
R046,0
R162,0
R176,0
R411,0
R388,0
R414,0
R342,0
R219,0
R338,0
R006,0
R337,0
R072,0
R079,0
R131,0
R030,0
R211,0
R460,0
R137,0
R346,0
R212,0
R216,0
R222,0
R464,0
R223,0
R029,0
R335,0
R128,0
R127,0
R468,0
R332,0
R129,0
R130,0
R336,0
R463,0
R040,0
R361,0
R364,0
R141,0
R196,0
R359,0
R140,0
R200,0
R367,0
R143,0
R146,0
R443,0
R138,0
R207,0
R355,0
R204,0
R205,0
R031,0
R070,0
R011,0
R201,0
R358,0
R202,0
R035,0
R452,0
R010,0
R033,0
